timeAt,seconds
2023-01-14T21:35:36.937Z,1.325
2023-01-14T21:35:38.185Z,1.259
2023-01-14T21:35:39.392Z,1.22
2023-01-14T21:35:40.604Z,1.224
2023-01-14T21:35:41.717Z,1.125
2023-01-14T21:35:42.921Z,1.218
2023-01-14T21:35:44.133Z,1.221
2023-01-14T21:35:45.342Z,1.22
2023-01-14T21:35:46.556Z,1.226
2023-01-14T21:35:47.673Z,1.128
2023-01-14T21:35:48.883Z,1.221
2023-01-14T21:35:50.091Z,1.22
2023-01-14T21:35:51.201Z,1.12
2023-01-14T21:35:52.314Z,1.125
2023-01-14T21:35:53.435Z,1.13
2023-01-14T21:35:54.637Z,1.215
2023-01-14T21:35:55.744Z,1.115
2023-01-14T21:35:56.925Z,1.192
2023-01-14T21:35:58.098Z,1.182
2023-01-14T21:35:59.341Z,1.255
2023-01-14T21:36:00.447Z,1.117
2023-01-14T21:36:01.555Z,1.118
2023-01-14T21:36:02.668Z,1.123
2023-01-14T21:36:03.843Z,1.19
2023-01-14T21:36:05.158Z,1.326
2023-01-14T21:36:06.405Z,1.261
2023-01-14T21:36:07.628Z,1.238
2023-01-14T21:36:08.807Z,1.201
2023-01-14T21:36:10.121Z,1.324
2023-01-14T21:36:11.434Z,1.324
2023-01-14T21:36:12.746Z,1.325
2023-01-14T21:36:14.062Z,1.328
2023-01-14T21:36:15.372Z,1.323
2023-01-14T21:36:16.685Z,1.327
2023-01-14T21:36:18.004Z,1.331
2023-01-14T21:36:19.316Z,1.325
2023-01-14T21:36:20.629Z,1.326
2023-01-14T21:36:21.952Z,1.337
2023-01-14T21:36:23.264Z,1.325
2023-01-14T21:36:24.587Z,1.336
2023-01-14T21:36:25.896Z,1.322
2023-01-14T21:36:27.205Z,1.323
2023-01-14T21:36:28.516Z,1.325
2023-01-14T21:36:29.837Z,1.332
2023-01-14T21:36:31.153Z,1.337
2023-01-14T21:36:32.467Z,1.327
2023-01-14T21:36:33.781Z,1.329
2023-01-14T21:36:35.114Z,1.345
2023-01-14T21:36:36.427Z,1.341
2023-01-14T21:36:37.736Z,1.322
2023-01-14T21:36:39.046Z,1.323
2023-01-14T21:36:40.358Z,1.325
2023-01-14T21:36:41.668Z,1.322
2023-01-14T21:36:42.975Z,1.321
2023-01-14T21:36:44.283Z,1.321
2023-01-14T21:36:45.601Z,1.331
2023-01-14T21:36:46.918Z,1.329
2023-01-14T21:36:48.238Z,1.331
2023-01-14T21:36:49.548Z,1.319
2023-01-14T21:36:50.856Z,1.32
2023-01-14T21:36:52.172Z,1.328
2023-01-14T21:36:53.490Z,1.329
2023-01-14T21:36:54.796Z,1.318
2023-01-14T21:36:56.104Z,1.318
2023-01-14T21:36:57.413Z,1.322
